candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
106,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Thursday, Wednesday, Monday, Friday, Saturday, Sunday",True,,1/7/2025 21:52:45,Amazon delivery driver,Amazon delivery van or truck
107,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 22:04:13,160 Amazon Packages,Amazon Vehicles
108,True,True,True,False,True,True,False,True,Yes - I recreationally consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 22:26:11,I had anywhere from 150-200 stops each day and the cargo was amazon packages weight ranging anywhere from 1lbs-50lbs,
109,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Wednesday, Monday, Thursday, Friday",True,,1/7/2025 22:45:37,150 a day,Van
110,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 22:54:34,20,Paratransit buses
111,False,True,True,False,False,True,True,True,No - I do not consume marijuana,Four (4) or more weeks from now,"Tuesday, Wednesday, Thursday, Friday",False,,1/7/2025 23:09:10,1 years,Delivery
112,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 23:27:46,,
113,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Sunday, Saturday, Friday, Thursday, Wednesday, Tuesday, Monday",True,,1/7/2025 23:39:50,,
114,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 23:45:55,50 plus,Cargo van box truck
115,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 23:53:15,"I picked up and delivered furniture and appliances, typically only 3-4 times a day, using my pickup truck and a trailer. I also worked for a moving company where I loaded and unloaded 18-26 foot box trucks.","I have experience driving 10 to 20 foot box trucks similar to Uhaul or Penske. I have driven the 26 foot box truck, but only a couple of times."
117,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Wednesday, Tuesday, Thursday, Friday",True,,1/8/2025 0:29:17,I was in the military and delivery packages all the time and I worked for a guns store and handled ammo pallets that wade a lot,"A H.E.M.T.T, it’s a military vehicle"
119,True,True,False,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Thursday, Wednesday, Tuesday, Saturday, Sunday, Friday",True,,1/8/2025 2:17:28,,
